,Argument,positive,neutral,negative
1269,Energy Transition,6.0,0.0,0.0
1270,Vaccines,2.0,0.0,0.0
1271,Keytruda Royalty Streams,1.0,0.0,0.0
1272,Non-pharma Business,1.0,0.0,0.0
1273,Discounted Price,1.0,0.0,0.0
1274,iPhone Revenue,0.0,0.0,1.0
1275,Services Revenue,0.0,0.0,1.0
1276,Smartphone Market,0.0,0.0,1.0
1277,High-end Smartphones,1.0,0.0,0.0
1278,Tablets and Laptops,1.0,0.0,0.0
1279,Products Growth,1.0,0.0,0.0
1280,Margin and Earnings Trajectory,1.0,0.0,0.0
1281,Consensus Expectations,0.0,1.0,0.0
1282,Long-term View,2.0,0.0,0.0
1283,C1 Cash Costs,0.0,0.0,1.0
1284,By-product Prices,1.0,0.0,0.0
1285,Deferred Profits,0.0,1.0,0.0
1286,Sales Forecast,0.0,3.0,4.0
1287,Growth Projects,1.0,1.0,0.0
1288,Logistics,0.0,0.0,1.0
1289,Subscription Growth,2.0,0.0,0.0
1290,Margin Upside,1.0,0.0,0.0
1291,Digital Experience,3.0,0.0,0.0
1292,Deliveries,1.0,0.0,0.0
1293,Delivery Trends,2.0,0.0,0.0
1294,Personalized Experience,1.0,0.0,0.0
1295,Data Integration,2.0,0.0,0.0
1296,Automation,3.0,0.0,0.0
1297,Input Prices,0.0,0.0,1.0
1298,Currency Exchange Catalyst,1.0,0.0,0.0
1299,Promotional Strategy,1.0,2.0,1.0
1300,Sales Promotion,1.0,0.0,0.0
1301,App Capabilities,1.0,0.0,0.0
1302,Supplier Marketing Programs,1.0,0.0,0.0
1303,Online Traffic Costs,0.0,0.0,1.0
1304,Revenue Capture,1.0,0.0,0.0
1305,Demand Driven Initiatives,1.0,0.0,0.0
1306,Management Stability,1.0,1.0,0.0
1307,Delivery Performance,3.0,0.0,1.0
1308,Cash Generation,4.0,0.0,0.0
1309,Deleveraging Process,1.0,0.0,0.0
1310,FAA Approval,1.0,0.0,0.0
1311,Execution Improvement,1.0,0.0,0.0
1312,Merchant Acceptance,1.0,0.0,0.0
1313,IoT Use Cases,1.0,0.0,0.0
1314,Fintech Partnerships,2.0,0.0,0.0
1315,Transaction Volume,3.0,0.0,0.0
1316,Value Added Services,1.0,0.0,0.0
1317,Network Strategy,1.0,0.0,0.0
1318,Insulin Delivery Systems,0.0,1.0,0.0
1319,Clinical Data Presentation,0.0,1.0,0.0
1320,Accuracy Data Comparison,0.0,1.0,0.0
1321,Trial Methodology Comparison,0.0,1.0,0.0
1322,Financial Education,1.0,0.0,0.0
1323,Deposit Flows,0.0,1.0,0.0
1324,Consumer Financial Position,1.0,0.0,0.0
1325,Growth Potential,3.0,0.0,0.0
1326,Deal-making,3.0,0.0,0.0
1327,Drug Development Risks,0.0,0.0,3.0
1328,Elderly Population,1.0,0.0,0.0
1329,Stock Valuation,1.0,1.0,1.0
1330,Speculative Nature,0.0,0.0,1.0
1331,Firm-specific Risks,0.0,0.0,1.0
1332,Business Impact,0.0,0.0,1.0
1333,Geography Performance,0.0,1.0,0.0
1334,Category Performance,0.0,2.0,0.0
1335,Pharma Sales,2.0,0.0,1.0
1336,COVID Vaccine Sales,1.0,0.0,1.0
1337,Sales Growth Forecast,0.0,1.0,0.0
1338,Vaccine Demand,0.0,0.0,1.0
1339,Revenue Recognition,0.0,1.0,0.0
1340,International Sales,1.0,1.0,0.0
1341,COVID Business,2.0,0.0,0.0
1342,Operational Growth,1.0,1.0,0.0
1343,FX Impact,0.0,0.0,2.0
1344,Guidance Revision,1.0,1.0,0.0
1345,Wealth Management,0.0,0.0,1.0
1346,LOB,0.0,1.0,0.0
1347,Battery Technology,1.0,0.0,1.0
1348,Raw Materials,1.0,1.0,1.0
1349,BEV Economics,0.0,0.0,2.0
1350,BEV Raw Materials Supply,0.0,0.0,1.0
1351,Global Scale Expansion,1.0,0.0,0.0
1352,EV Impact,0.0,0.0,1.0
1353,Wireless Offerings,0.0,1.0,0.0
1354,Outlook,0.0,0.0,1.0
1355,FCF Outlook,0.0,0.0,2.0
1356,Net Margin,0.0,0.0,1.0
1357,Connected Future,1.0,0.0,0.0
1358,Battery Raw Material Costs,0.0,0.0,2.0
1359,BEV Profitability,0.0,0.0,2.0
1360,Fuel Economy Regulations,0.0,0.0,3.0
1361,Semiconductor Shortage,0.0,0.0,2.0
1362,UAW Contract Negotiations,0.0,0.0,3.0
1363,Supply Chain Disruption,0.0,0.0,1.0
1364,COVID Impact,0.0,1.0,1.0
1365,New Product Launch,0.0,0.0,1.0
1366,Earnings Consensus,0.0,0.0,2.0
1367,Transportation,0.0,0.0,1.0
1368,Brand Equity,2.0,0.0,0.0
1369,Reopening Dynamics,0.0,1.0,0.0
1370,Portfolio Management,2.0,0.0,0.0
1371,Credit Loss Reserve,0.0,0.0,1.0
1372,Used/Auction Prices,0.0,0.0,1.0
1373,Off-Lease Returns,0.0,0.0,1.0
1374,Repossessions,0.0,0.0,1.0
1375,Lease Residuals,0.0,0.0,1.0
1376,EBITDA Beats,1.0,0.0,0.0
1377,International Drilling,1.0,0.0,0.0
1378,Drilling Solutions,1.0,0.0,0.0
1379,Rig Technologies,1.0,0.0,0.0
1380,U.S. Drilling,0.0,0.0,1.0
1381,Drilling Solutions/Rig Tech,0.0,1.0,0.0
1382,Cash/Balance Sheet,0.0,1.0,0.0
1383,ROIC,0.0,0.0,1.0
1384,Revenue Outlook,2.0,2.0,7.0
1385,EBITDA Margin Expansion,2.0,0.0,0.0
1386,Earnings Trajectory,0.0,1.0,1.0
1387,Cost Inflation,0.0,0.0,2.0
1388,Comps,3.0,0.0,1.0
1389,Department Stores,0.0,0.0,1.0
1390,Consumer Pressure,0.0,0.0,1.0
1391,Cybersecurity,2.0,0.0,1.0
1392,Financial Risk,0.0,0.0,4.0
1393,Tech Spending,0.0,2.0,0.0
1394,Financial Discipline,1.0,0.0,0.0
1395,Electronic Payments,1.0,0.0,0.0
1396,Capital Intensive,0.0,0.0,1.0
1397,Digital Strategy,2.0,0.0,0.0
1398,Earnings Stability,1.0,0.0,1.0
1399,CEO Transition,1.0,0.0,0.0
1400,Cost Saving Opportunities,0.0,1.0,0.0
1401,Network Integration,0.0,1.0,0.0
1402,Europe Market,0.0,0.0,1.0
1403,Investment Strategy,0.0,1.0,1.0
1404,Low-carbon Transition,1.0,0.0,0.0
1405,Contracts,1.0,0.0,0.0
1406,Autonomous Driving,0.0,1.0,0.0
1407,Price Changes,0.0,1.0,0.0
1408,Deceleration Explanation,0.0,1.0,0.0
1409,Conservatism in Guidance,1.0,0.0,0.0
1410,Advertising Engagement,1.0,0.0,0.0
1411,Fees and Costs,0.0,1.0,0.0
1412,Securities Losses,0.0,0.0,1.0
1413,Complexity Reduction,1.0,0.0,0.0
1414,Risk Profile,1.0,0.0,0.0
1415,Capital Needs,1.0,0.0,0.0
1416,Overhead Ratio,1.0,0.0,0.0
1417,Divestitures,1.0,2.0,0.0
1418,Discount to NAV,1.0,0.0,0.0
1419,EPS Estimates,0.0,1.0,0.0
1420,Management Opportunism,1.0,0.0,0.0
1421,Regional Performance,0.0,1.0,0.0
1422,Quality Users Focus,1.0,0.0,0.0
1423,ARPU Growth,3.0,0.0,0.0
1424,Churn Rate,0.0,0.0,1.0
1425,Price Increases,1.0,0.0,0.0
1426,Inflation Concerns,0.0,0.0,1.0
1427,Fiber Broadband Expansion,1.0,0.0,0.0
1428,ROI Improvement,1.0,0.0,0.0
1429,Legacy Broadband Decline,0.0,0.0,1.0
1430,Operating Expense Outlook,0.0,1.0,0.0
1431,Data Processing Rates,0.0,1.0,0.0
1432,Transaction Costs,0.0,1.0,0.0
1433,Convenience,3.0,0.0,0.0
1434,Value Proposition,2.0,0.0,0.0
1435,Grocery Segment,0.0,2.0,0.0
1436,Trade Down,1.0,0.0,2.0
1437,Land Ownership,1.0,0.0,0.0
1438,Payment Volumes,1.0,0.0,0.0
1439,Switched Volume Growth,1.0,0.0,0.0
1440,Transaction Processing Fees,1.0,0.0,0.0
1441,Cross-border Volumes,1.0,0.0,0.0
1442,Transaction Processing Fees Growth,1.0,0.0,0.0
1443,Other Revenues,1.0,0.0,0.0
1444,Deals and Partnerships,1.0,0.0,0.0
1445,Economic Slowdown,0.0,0.0,1.0
1446,Online Debit Transactions,0.0,1.0,0.0
1447,Gross Merchandise Volume (GMV),0.0,1.0,0.0
1448,Operating Income Margin,0.0,0.0,1.0
1449,Profitable Growth,2.0,0.0,0.0
1450,Execution Risk,0.0,0.0,2.0
1451,Earnings Estimates,2.0,1.0,1.0
1452,Volume Performance,0.0,0.0,1.0
1453,Segment EBIT,0.0,0.0,1.0
1454,Volume Decline,0.0,0.0,1.0
1455,Pipeline Execution,1.0,0.0,0.0
1456,Crude Oil Realizations,1.0,0.0,0.0
1457,Engagement Trends,1.0,0.0,0.0
1458,Credit Revenue,0.0,0.0,1.0
1459,OVAS Revenue Growth,1.0,0.0,0.0
1460,FY22 Revenue Growth Expectation,1.0,0.0,0.0
1461,Share Buyback,1.0,0.0,0.0
1462,Global Economic Activity,0.0,0.0,1.0
1463,Revenue Optimization,0.0,0.0,1.0
1464,Revenue Recovery,1.0,0.0,0.0
1465,Labor Issues,1.0,1.0,0.0
1466,Investor Sentiment,2.0,0.0,1.0
1467,Management Execution,1.0,0.0,0.0
1468,Tax Issues,1.0,0.0,0.0
1469,Retailers,0.0,0.0,1.0
1470,Fundamental Deterioration,0.0,0.0,1.0
1471,Licensing Issue,0.0,0.0,1.0
1472,Management Confidence,1.0,0.0,0.0
1473,Gucci License,1.0,0.0,0.0
1474,A&CP,0.0,0.0,1.0
1475,Stability,1.0,0.0,0.0
1476,Growth Rates,0.0,1.0,0.0
1477,Macro Environment,0.0,0.0,1.0
1478,Confidence,1.0,0.0,0.0
1479,Product Recommendations,1.0,0.0,0.0
1480,Revenue Expectations,1.0,0.0,1.0
1481,AWS Performance,1.0,0.0,0.0
1482,Regulatory Environment,0.0,0.0,1.0
1483,Gaming,1.0,0.0,0.0
1484,Datacenter,1.0,0.0,0.0
1485,AI Investment,1.0,0.0,0.0
1486,Infrastructure Investments,1.0,0.0,0.0
1487,Recommendation Engine Models,1.0,0.0,0.0
1488,Transformer Models,1.0,0.0,0.0
1489,Capex Growth,1.0,0.0,0.0
1490,AI Capacity,1.0,0.0,0.0
1491,CPU to GPU Shift,1.0,0.0,0.0
1492,Capital Position,2.0,0.0,0.0
1493,Provision Expense,0.0,0.0,2.0
1494,Operating Losses,0.0,0.0,1.0
1495,Fixed Income,0.0,0.0,1.0
1496,Cash Redeployment,0.0,1.0,0.0
1497,Hedging Strategies,0.0,1.0,0.0
1498,Customer Remediation,0.0,0.0,1.0
1499,Regulatory Matters,0.0,0.0,1.0
1500,Trading and IB Fees,1.0,0.0,0.0
1501,Equity Losses,0.0,0.0,1.0
1502,EV Market,1.0,0.0,0.0
1503,Financial Planning,1.0,0.0,0.0
1504,Pension Income,0.0,1.0,0.0
1505,EBIT Margin Outlook,0.0,1.0,0.0
1506,Inflation Reduction Act,2.0,0.0,0.0
1507,ICE Levels,1.0,0.0,0.0
1508,Trading Multiple,1.0,0.0,0.0
1509,EV Sales,1.0,0.0,0.0
1510,Product Strategy,1.0,0.0,0.0
1511,Core EPS Growth,1.0,0.0,0.0
1512,Input Cost and FX Headwinds,0.0,0.0,1.0
1513,Brand Portfolio Transformation,1.0,0.0,0.0
1514,Superior Product Offering,1.0,0.0,0.0
1515,Investment in Business,1.0,0.0,0.0
1516,Consumer Value,1.0,0.0,0.0
1517,Brand Choice,1.0,0.0,0.0
1518,Cost Efficiency,2.0,0.0,0.0
1519,Quality Improvement,1.0,0.0,0.0
1520,Supply Assurance,1.0,0.0,0.0
1521,Marketing Efficiency,1.0,0.0,0.0
1522,Integrated Growth Strategy,1.0,0.0,0.0
1523,Market Recognition,1.0,0.0,0.0
1524,Employee Development,3.0,0.0,0.0
1525,Employee Retention,0.0,0.0,1.0
1526,Diversity and Inclusion,1.0,0.0,0.0
1527,Earnings Potential,3.0,0.0,2.0
1528,Margin Trajectory,1.0,1.0,0.0
1529,Recession Impact,0.0,0.0,1.0
1530,Price/Mix Vehicle Normalization,0.0,0.0,1.0
1531,Revenue Generation,2.0,0.0,0.0
1532,EV Production,1.0,0.0,0.0
1533,Battery Production,1.0,1.0,0.0
1534,Earnings Improvement,0.0,1.0,0.0
1535,Material Pricing,0.0,0.0,1.0
1536,EV,1.0,0.0,0.0
1537,Price Controls,0.0,1.0,0.0
1538,Battery Cost Target,0.0,1.0,0.0
1539,Contracted Visibility,0.0,1.0,0.0
1540,Input Costs,0.0,1.0,0.0
1541,EV Margin Profile,1.0,0.0,0.0
1542,Employee Relations,1.0,0.0,0.0
1543,Product Categories,1.0,0.0,0.0
1544,Retail Mix,0.0,0.0,1.0
1545,Grocery Comps,1.0,0.0,0.0
1546,General Merchandise Shift,0.0,0.0,1.0
1547,ASP,1.0,0.0,0.0
1548,Sales Trends,0.0,1.0,0.0
1549,Promotional Rates,0.0,1.0,0.0
1550,Earnings Upside,1.0,0.0,0.0
1551,Cross Border Travel Recovery,1.0,0.0,0.0
1552,USD Moderation,1.0,0.0,0.0
1553,New CEO Transition,1.0,0.0,0.0
1554,Credit Card Legislation Risk,0.0,1.0,0.0
1555,Exit Multiple,0.0,1.0,0.0
1556,Discounted Cash Flow,0.0,1.0,0.0
1557,WACC,0.0,1.0,0.0
1558,Long-term Growth Rate,0.0,1.0,0.0
1559,Industry Growth,0.0,1.0,0.0
1560,Product Pipeline,1.0,1.0,0.0
1561,New Category,1.0,0.0,0.0
1562,R&D Investment,0.0,2.0,0.0
1563,Commercial Airplanes,1.0,0.0,0.0
1564,Cash Taxes,0.0,0.0,1.0
1565,Production Growth,4.0,0.0,0.0
1566,Earnings Advantage,1.0,0.0,0.0
1567,Therapeutic Benefits,1.0,1.0,0.0
1568,Revenue Potential,1.0,0.0,0.0
1569,Safety Profile,1.0,0.0,0.0
1570,Yield Forecast,0.0,1.0,0.0
1571,Mix Impact,1.0,0.0,0.0
1572,Fuel Surcharge Revenue,0.0,0.0,1.0
1573,Other Income,1.0,0.0,0.0
1574,Management Focus,0.0,0.0,1.0
1575,Repossession,0.0,0.0,2.0
1576,Capex Forecast,0.0,1.0,0.0
1577,Production Volumes,1.0,0.0,0.0
1578,Forced Ranker,1.0,0.0,0.0
1579,Cash Return Framework,1.0,0.0,0.0
1580,Market Cap Return,1.0,0.0,0.0
1581,De-leveraging,1.0,0.0,0.0
1582,Sustaining Cash Flow Analysis,1.0,0.0,0.0
1583,Infrastructure Constraints,0.0,0.0,1.0
1584,Oilfield Service Cost Inflation,0.0,0.0,1.0
1585,Geologic Irregularities,0.0,0.0,1.0
1586,Proved Reserves/Resource Potential,0.0,0.0,1.0
1587,Uncertainty,0.0,0.0,1.0
